CCAA,FECHA,CASOS,Hospitalizados,UCI,Fallecidos,Recuperados
AN,17/04/2020,115.0,5230.0,666.0,34.0,222.0
AR,17/04/2020,80.0,2112.0,255.0,21.0,46.0
AS,17/04/2020,31.0,1435.0,116.0,6.0,26.0
CB,17/04/2020,34.0,885.0,77.0,6.0,67.0
CE,17/04/2020,1.0,9.0,4.0,0.0,5.0
CL,17/04/2020,559.0,6434.0,301.0,33.0,210.0
CM,17/04/2020,692.0,7890.0,505.0,53.0,252.0
CN,17/04/2020,20.0,803.0,157.0,3.0,50.0
CT,17/04/2020,929.0,20821.0,2268.0,132.0,748.0
EX,17/04/2020,56.0,1184.0,107.0,13.0,48.0
GA,17/04/2020,146.0,2505.0,121.0,10.0,75.0
IB,17/04/2020,31.0,887.0,151.0,4.0,24.0
MC,17/04/2020,10.0,579.0,98.0,2.0,29.0
MD,17/04/2020,800.0,9520.0,1185.0,140.0,992.0
ML,17/04/2020,1.0,44.0,3.0,0.0,3.0
NC,17/04/2020,98.0,1763.0,124.0,54.0,49.0
PV,17/04/2020,197.0,5854.0,480.0,38.0,286.0
RI,17/04/2020,29.0,1210.0,75.0,7.0,74.0
VC,17/04/2020,77.0,4543.0,623.0,28.0,322.0
AN,18/04/2020,112.0,5188.0,659.0,40.0,220.0
AR,18/04/2020,81.0,2107.0,255.0,20.0,45.0
AS,18/04/2020,34.0,1408.0,115.0,6.0,19.0
CB,18/04/2020,34.0,875.0,77.0,5.0,58.0
CE,18/04/2020,1.0,9.0,4.0,0.0,5.0
CL,18/04/2020,554.0,6386.0,302.0,33.0,208.0
CM,18/04/2020,604.0,7856.0,501.0,53.0,242.0
CN,18/04/2020,22.0,802.0,156.0,3.0,41.0
CT,18/04/2020,955.0,20697.0,2263.0,128.0,620.0
EX,18/04/2020,58.0,1174.0,107.0,13.0,43.0
GA,18/04/2020,147.0,2489.0,122.0,10.0,58.0
IB,18/04/2020,22.0,883.0,150.0,5.0,24.0
MC,18/04/2020,9.0,577.0,97.0,2.0,35.0
MD,18/04/2020,602.0,9672.0,1199.0,142.0,959.0
ML,18/04/2020,2.0,44.0,3.0,0.0,3.0
NC,18/04/2020,103.0,1752.0,124.0,55.0,47.0
PV,18/04/2020,194.0,5819.0,478.0,38.0,244.0
RI,18/04/2020,32.0,1200.0,75.0,6.0,67.0
VC,18/04/2020,78.0,4490.0,622.0,28.0,297.0
AN,19/04/2020,103.0,5191.0,659.0,23.0,209.0
AR,19/04/2020,83.0,2107.0,255.0,15.0,21.0
AS,19/04/2020,29.0,1410.0,116.0,6.0,8.0
CB,19/04/2020,33.0,877.0,77.0,7.0,58.0
CE,19/04/2020,1.0,9.0,4.0,0.0,5.0
CL,19/04/2020,546.0,6392.0,302.0,33.0,170.0
CM,19/04/2020,591.0,7858.0,502.0,55.0,233.0
CN,19/04/2020,22.0,802.0,156.0,3.0,41.0
CT,19/04/2020,819.0,20702.0,2265.0,129.0,588.0
EX,19/04/2020,53.0,1173.0,107.0,13.0,44.0
GA,19/04/2020,147.0,2490.0,122.0,10.0,43.0
IB,19/04/2020,21.0,884.0,150.0,4.0,24.0
MC,19/04/2020,9.0,577.0,97.0,3.0,26.0
MD,19/04/2020,444.0,9663.0,1199.0,142.0,767.0
ML,19/04/2020,2.0,44.0,3.0,0.0,3.0
NC,19/04/2020,105.0,1754.0,124.0,55.0,46.0
PV,19/04/2020,182.0,5825.0,478.0,31.0,225.0
RI,19/04/2020,33.0,1201.0,75.0,6.0,52.0
VC,19/04/2020,72.0,4499.0,623.0,29.0,236.0
AN,20/04/2020,174.0,5142.0,648.0,34.0,265.0
AR,20/04/2020,86.0,2075.0,260.0,26.0,51.0
AS,20/04/2020,43.0,1418.0,115.0,5.0,28.0
CB,20/04/2020,32.0,881.0,77.0,11.0,64.0
CE,20/04/2020,2.0,9.0,4.0,0.0,7.0
CL,20/04/2020,614.0,6391.0,302.0,34.0,213.0
CM,20/04/2020,616.0,7742.0,498.0,48.0,173.0
CN,20/04/2020,27.0,797.0,154.0,3.0,51.0
CT,20/04/2020,1202.0,20638.0,2231.0,230.0,840.0
EX,20/04/2020,50.0,1173.0,107.0,15.0,46.0
GA,20/04/2020,138.0,2488.0,123.0,10.0,70.0
IB,20/04/2020,34.0,868.0,150.0,4.0,28.0
MC,20/04/2020,13.0,570.0,96.0,2.0,26.0
MD,20/04/2020,1086.0,9641.0,1199.0,149.0,1109.0
ML,20/04/2020,2.0,43.0,3.0,0.0,4.0
NC,20/04/2020,98.0,1749.0,123.0,48.0,59.0
PV,20/04/2020,204.0,5815.0,471.0,48.0,334.0
RI,20/04/2020,27.0,1193.0,74.0,8.0,72.0
VC,20/04/2020,114.0,4529.0,620.0,34.0,311.0
AN,21/04/2020,174.0,5142.0,648.0,34.0,265.0
AR,21/04/2020,86.0,2075.0,260.0,26.0,51.0
AS,21/04/2020,43.0,1418.0,115.0,5.0,28.0
CB,21/04/2020,32.0,881.0,77.0,11.0,64.0
CE,21/04/2020,2.0,9.0,4.0,0.0,7.0
CL,21/04/2020,615.0,6391.0,302.0,34.0,213.0
CM,21/04/2020,616.0,7742.0,498.0,48.0,173.0
CN,21/04/2020,27.0,797.0,154.0,3.0,51.0
CT,21/04/2020,1202.0,20638.0,2231.0,230.0,840.0
EX,21/04/2020,50.0,1173.0,107.0,15.0,46.0
GA,21/04/2020,138.0,2488.0,123.0,10.0,70.0
IB,21/04/2020,34.0,868.0,150.0,4.0,28.0
MC,21/04/2020,13.0,570.0,96.0,2.0,26.0
MD,21/04/2020,1086.0,9641.0,1199.0,149.0,1110.0
ML,21/04/2020,2.0,43.0,3.0,0.0,4.0
NC,21/04/2020,98.0,1749.0,123.0,48.0,59.0
PV,21/04/2020,204.0,5815.0,471.0,48.0,334.0
RI,21/04/2020,27.0,1193.0,74.0,8.0,72.0
VC,21/04/2020,114.0,4529.0,620.0,34.0,311.0
AN,22/04/2020,166.0,5199.0,660.0,36.0,279.0
AR,22/04/2020,82.0,2092.0,263.0,27.0,57.0
AS,22/04/2020,41.0,1428.0,116.0,5.0,29.0
CB,22/04/2020,32.0,888.0,77.0,6.0,68.0
CE,22/04/2020,0.0,9.0,4.0,0.0,8.0
CL,22/04/2020,627.0,6422.0,302.0,34.0,209.0
CM,22/04/2020,656.0,7807.0,502.0,48.0,268.0
CN,22/04/2020,21.0,800.0,155.0,3.0,54.0
CT,22/04/2020,1060.0,20684.0,2253.0,182.0,701.0
EX,22/04/2020,45.0,1184.0,107.0,15.0,47.0
GA,22/04/2020,148.0,2495.0,122.0,11.0,77.0
IB,22/04/2020,32.0,874.0,150.0,4.0,30.0
MC,22/04/2020,12.0,573.0,97.0,2.0,18.0
MD,22/04/2020,1028.0,9575.0,1194.0,147.0,1065.0
ML,22/04/2020,1.0,43.0,3.0,0.0,3.0
NC,22/04/2020,97.0,1751.0,124.0,48.0,46.0
PV,22/04/2020,203.0,5835.0,475.0,51.0,354.0
