CCAA,FECHA,CASOS,Hospitalizados,UCI,Fallecidos,Recuperados
AN,29/04/2020,68.0,5749.0,717.0,14.0,230.0
AR,29/04/2020,28.0,2400.0,257.0,11.0,109.0
AS,29/04/2020,4.0,1810.0,135.0,9.0,23.0
CB,29/04/2020,13.0,991.0,78.0,3.0,100.0
CE,29/04/2020,0.0,10.0,4.0,0.0,2.0
CL,29/04/2020,241.0,7673.0,516.0,23.0,83.0
CM,29/04/2020,65.0,8428.0,573.0,35.0,152.0
CN,29/04/2020,13.0,891.0,172.0,1.0,31.0
CT,29/04/2020,752.0,25664.0,2699.0,109.0,531.0
EX,29/04/2020,12.0,1474.0,107.0,5.0,100.0
GA,29/04/2020,123.0,2742.0,80.0,7.0,33.0
IB,29/04/2020,12.0,1062.0,166.0,3.0,25.0
MC,29/04/2020,2.0,627.0,106.0,2.0,58.0
MD,29/04/2020,529.0,30922.0,2786.0,68.0,333.0
ML,29/04/2020,3.0,44.0,3.0,0.0,5.0
NC,29/04/2020,39.0,1937.0,130.0,2.0,92.0
PV,29/04/2020,77.0,6439.0,534.0,17.0,388.0
RI,29/04/2020,20.0,1383.0,85.0,5.0,21.0
VC,29/04/2020,42.0,5012.0,656.0,11.0,144.0
AN,30/04/2020,72.0,5748.0,717.0,14.0,246.0
AR,30/04/2020,29.0,2400.0,257.0,11.0,97.0
AS,30/04/2020,4.0,1805.0,135.0,9.0,23.0
CB,30/04/2020,14.0,991.0,78.0,3.0,108.0
CE,30/04/2020,0.0,10.0,4.0,0.0,3.0
CL,30/04/2020,249.0,7664.0,518.0,23.0,81.0
CM,30/04/2020,67.0,8428.0,572.0,35.0,165.0
CN,30/04/2020,14.0,888.0,172.0,1.0,29.0
CT,30/04/2020,768.0,25604.0,2693.0,108.0,523.0
EX,30/04/2020,11.0,1475.0,107.0,5.0,99.0
GA,30/04/2020,114.0,2742.0,81.0,7.0,33.0
IB,30/04/2020,12.0,1060.0,166.0,3.0,26.0
MC,30/04/2020,2.0,627.0,106.0,1.0,57.0
MD,30/04/2020,508.0,30808.0,2784.0,68.0,341.0
ML,30/04/2020,3.0,44.0,3.0,0.0,6.0
NC,30/04/2020,36.0,1938.0,130.0,2.0,97.0
PV,30/04/2020,80.0,6436.0,533.0,17.0,411.0
RI,30/04/2020,21.0,1383.0,85.0,5.0,21.0
VC,30/04/2020,41.0,5015.0,656.0,12.0,145.0
AN,01/05/2020,157.0,5375.0,670.0,24.0,182.0
AR,01/05/2020,62.0,2147.0,273.0,27.0,126.0
AS,01/05/2020,62.0,1564.0,123.0,11.0,27.0
CB,01/05/2020,45.0,921.0,76.0,6.0,58.0
CE,01/05/2020,1.0,9.0,4.0,0.0,9.0
CL,01/05/2020,438.0,6803.0,357.0,32.0,178.0
CM,01/05/2020,284.0,8094.0,524.0,67.0,286.0
CN,01/05/2020,19.0,813.0,155.0,3.0,89.0
CT,01/05/2020,1106.0,22160.0,2322.0,158.0,744.0
EX,01/05/2020,35.0,1269.0,107.0,10.0,100.0
GA,01/05/2020,118.0,2566.0,106.0,9.0,50.0
IB,01/05/2020,35.0,939.0,154.0,7.0,17.0
MC,01/05/2020,24.0,583.0,98.0,3.0,73.0
MD,01/05/2020,839.0,12630.0,1337.0,136.0,877.0
ML,01/05/2020,1.0,43.0,3.0,0.0,5.0
NC,01/05/2020,54.0,1788.0,126.0,12.0,99.0
PV,01/05/2020,205.0,5980.0,499.0,31.0,347.0
RI,01/05/2020,38.0,1268.0,79.0,9.0,53.0
VC,01/05/2020,159.0,4613.0,601.0,32.0,264.0
AN,02/05/2020,156.0,5382.0,670.0,24.0,221.0
AR,02/05/2020,61.0,2148.0,273.0,26.0,108.0
AS,02/05/2020,61.0,1569.0,123.0,10.0,26.0
CB,02/05/2020,44.0,922.0,76.0,6.0,53.0
CE,02/05/2020,1.0,9.0,4.0,0.0,7.0
CL,02/05/2020,370.0,6816.0,357.0,32.0,180.0
CM,02/05/2020,282.0,8097.0,525.0,67.0,280.0
CN,02/05/2020,18.0,813.0,155.0,3.0,81.0
CT,02/05/2020,1070.0,22207.0,2325.0,146.0,704.0
EX,02/05/2020,37.0,1272.0,107.0,10.0,93.0
GA,02/05/2020,110.0,2569.0,105.0,9.0,38.0
IB,02/05/2020,33.0,940.0,154.0,6.0,18.0
MC,02/05/2020,24.0,583.0,98.0,3.0,69.0
MD,02/05/2020,733.0,12612.0,1337.0,134.0,862.0
ML,02/05/2020,1.0,43.0,3.0,0.0,6.0
NC,02/05/2020,61.0,1789.0,126.0,12.0,94.0
PV,02/05/2020,189.0,5983.0,500.0,32.0,364.0
RI,02/05/2020,41.0,1269.0,79.0,9.0,53.0
VC,02/05/2020,156.0,4617.0,601.0,31.0,252.0
AN,03/05/2020,155.0,5383.0,670.0,23.0,200.0
AR,03/05/2020,60.0,2149.0,273.0,26.0,108.0
AS,03/05/2020,61.0,1570.0,123.0,8.0,18.0
CB,03/05/2020,45.0,922.0,76.0,6.0,55.0
CE,03/05/2020,1.0,9.0,4.0,0.0,6.0
CL,03/05/2020,374.0,6817.0,357.0,32.0,176.0
CM,03/05/2020,280.0,8098.0,525.0,66.0,273.0
CN,03/05/2020,18.0,813.0,155.0,3.0,80.0
CT,03/05/2020,1101.0,22256.0,2330.0,153.0,827.0
EX,03/05/2020,37.0,1272.0,107.0,10.0,91.0
GA,03/05/2020,108.0,2569.0,105.0,10.0,36.0
IB,03/05/2020,33.0,940.0,154.0,6.0,17.0
MC,03/05/2020,24.0,583.0,98.0,3.0,70.0
MD,03/05/2020,656.0,16379.0,1590.0,134.0,839.0
ML,03/05/2020,1.0,43.0,3.0,0.0,6.0
NC,03/05/2020,58.0,1789.0,126.0,11.0,92.0
PV,03/05/2020,189.0,5984.0,500.0,31.0,331.0
RI,03/05/2020,40.0,1270.0,79.0,9.0,50.0
VC,03/05/2020,154.0,4618.0,601.0,30.0,237.0
AN,04/05/2020,132.0,5300.0,659.0,24.0,128.0
AR,04/05/2020,66.0,2111.0,275.0,24.0,159.0
AS,04/05/2020,72.0,1518.0,121.0,8.0,24.0
CB,04/05/2020,24.0,905.0,76.0,5.0,25.0
CE,04/05/2020,1.0,9.0,4.0,0.0,4.0
CL,04/05/2020,469.0,6636.0,340.0,35.0,148.0
CM,04/05/2020,264.0,8038.0,515.0,74.0,289.0
CN,04/05/2020,15.0,804.0,153.0,3.0,97.0
CT,04/05/2020,745.0,21522.0,2260.0,135.0,569.0
EX,04/05/2020,31.0,1236.0,107.0,11.0,96.0
GA,04/05/2020,125.0,2531.0,110.0,7.0,50.0
IB,04/05/2020,26.0,913.0,152.0,4.0,12.0
MC,04/05/2020,24.0,577.0,98.0,4.0,107.0
MD,04/05/2020,903.0,14079.0,1463.0,141.0,848.0
ML,04/05/2020,1.0,43.0,3.0,0.0,2.0
NC,04/05/2020,59.0,1768.0,125.0,7.0,81.0
PV,04/05/2020,195.0,5925.0,493.0,29.0,193.0
RI,04/05/2020,38.0,1244.0,78.0,10.0,55.0
VC,04/05/2020,152.0,4552.0,595.0,30.0,273.0
AN,05/05/2020,160.0,5318.0,666.0,26.0,146.0
AR,05/05/2020,71.0,2120.0,275.0,23.0,180.0
AS,05/05/2020,63.0,1530.0,121.0,9.0,26.0
CB,05/05/2020,25.0,908.0,76.0,6.0,33.0
CE,05/05/2020,1.0,9.0,4.0,0.0,5.0
CL,05/05/2020,461.0,6668.0,346.0,35.0,186.0
CM,05/05/2020,278.0,8046.0,516.0,69.0,239.0
CN,05/05/2020,15.0,807.0,154.0,3.0,90.0
CT,05/05/2020,1020.0,21692.0,2285.0,162.0,773.0
EX,05/05/2020,38.0,1240.0,107.0,10.0,98.0
GA,05/05/2020,134.0,2541.0,110.0,8.0,50.0
IB,05/05/2020,28.0,918.0,153.0,5.0,12.0
MC,05/05/2020,26.0,581.0,98.0,4.0,68.0
MD,05/05/2020,921.0,13110.0,1381.0,141.0,900.0
ML,05/05/2020,1.0,43.0,3.0,0.0,3.0
NC,05/05/2020,67.0,1775.0,125.0,6.0,89.0
PV,05/05/2020,200.0,5945.0,493.0,31.0,266.0
RI,05/05/2020,34.0,1247.0,78.0,10.0,56.0
VC,05/05/2020,162.0,4570.0,599.0,31.0,282.0
